Algorithm,n_clusters,n_neighbors,assign_labels,eigen_solver,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_2",2,5,cluster_qr,arpack,2,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.011604070663452148
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_3",2,5,cluster_qr,arpack,3,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.01016378402709961
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_4",2,5,cluster_qr,arpack,4,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.009936809539794922
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_5",2,5,cluster_qr,arpack,5,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.010528326034545898
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_6",2,5,cluster_qr,arpack,6,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.011574506759643555
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_7",2,5,cluster_qr,arpack,7,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.011520624160766602
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_8",2,5,cluster_qr,arpack,8,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.010523319244384766
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=5, assign_labels=cluster_qr, eigen_solver=arpack)_9",2,5,cluster_qr,arpack,9,-0.0943684065160686,0.12144301917469418,1.896964472690029,0.10017139440903994,22.509375525996827,2,0.009485244750976562
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_0",2,7,kmeans,lobpcg,0,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.022698640823364258
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_1",2,7,kmeans,lobpcg,1,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.02459573745727539
"SpectralClusteringWrapper(n_clusters=2, n_neighbors=7, assign_labels=kmeans, eigen_solver=lobpcg)_2",2,7,kmeans,lobpcg,2,-0.1024090170622643,0.10961537434370375,1.791884681781072,0.08741094113564482,21.18226221813485,2,0.024425029754638672
