Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_4",3,6.0,0.5,4,0.059574471198188754,0.10150197634760481,2.230741582889514,0.16845938623068535,27.69888693664874,3,0.010385513305664062
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_5",3,6.0,0.5,5,0.11044333123790519,0.15493818383030286,2.254279997917233,0.15003354142934347,27.693221741634794,3,0.01564311981201172
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_6",3,6.0,0.5,6,0.10475237661118231,0.1584967791594902,2.261223127680951,0.15019105490433635,27.73972898924853,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_7",3,6.0,0.5,7,0.05039737906160415,0.11660448058916917,2.239349048205305,0.15988623468277394,27.695152120747082,3,0.017617225646972656
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_8",3,6.0,0.5,8,0.10513138308742061,0.16782422410280382,2.2660570850572572,0.14891404262976077,27.739836481572528,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.5)_9",3,6.0,0.5,9,0.10273356676796969,0.14298482118607805,2.252596243621114,0.15078875141626696,27.688825261448816,3,0.0170290470123291
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_0",3,6.0,0.7,0,0.031531619768228825,0.11865524721303543,2.08313840559939,0.12057891820277172,24.8391815889541,3,0.015794754028320312
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_1",3,6.0,0.7,1,0.08656264186525599,0.09549333028503805,2.213594189693597,0.15990720930691665,28.1451583229912,3,0.016343355178833008
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_2",3,6.0,0.7,2,0.10392759888785771,0.15023359092107744,2.252209976246933,0.15137731087668865,27.768525380789452,3,0.010924816131591797
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_3",3,6.0,0.7,3,0.10590185430673152,0.1796031085507284,2.1841578449134333,0.14848902503258943,28.61391266027803,3,0.012222528457641602
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_4",3,6.0,0.7,4,0.053313858066446056,0.10465935981785845,2.24625733510608,0.1691662630108874,27.286028165391397,3,0.020721435546875
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_5",3,6.0,0.7,5,0.11044333123790519,0.15493818383030286,2.254279997917233,0.15003354142934347,27.693221741634794,3,0.004242420196533203
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_6",3,6.0,0.7,6,0.0978427473031478,0.15317735423003465,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.010495424270629883
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_7",3,6.0,0.7,7,0.04826046644484924,0.10727094485184331,2.2335490688603956,0.15922750354985934,27.61818466689934,3,0.009133338928222656
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_8",3,6.0,0.7,8,0.052562261408152365,0.11898547144163511,2.2556672997103,0.1580708784222048,27.682447353469485,3,0.008052825927734375
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.7)_9",3,6.0,0.7,9,0.0978427473031478,0.15317735423003465,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.015662431716918945
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_0",3,6.0,0.9,0,0.09747353918079281,0.1453464198015362,2.256227993865991,0.15126778566718396,27.769486394378788,3,0.014157295227050781
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_1",3,6.0,0.9,1,0.05039737906160415,0.11660448058916917,2.2294991488938365,0.15914182659051476,27.661692109352384,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_2",3,6.0,0.9,2,0.048268909206774714,0.11575553397173752,2.242745930897434,0.15774084030811278,27.570635598592048,3,0.015615701675415039
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_3",3,6.0,0.9,3,0.06381603102683467,0.07528852959831278,2.1920652544060655,0.17104662162422776,27.720305657951155,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_4",3,6.0,0.9,4,0.052562261408152365,0.11898547144163511,2.2556672997103,0.1580708784222048,27.682447353469485,3,0.016025781631469727
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_5",3,6.0,0.9,5,0.05039737906160415,0.11660448058916917,2.239349048205305,0.15988623468277394,27.69515212074708,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_6",3,6.0,0.9,6,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.015615224838256836
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_7",3,6.0,0.9,7,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.01562666893005371
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_8",3,6.0,0.9,8,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.015611648559570312
"FuzzyCMeans(n_clusters=3, fuzziness=6, rho=0.9)_9",3,6.0,0.9,9,0.06157556347359157,0.10551562057519494,2.2307144121551215,0.17000304254970933,27.256145870810993,3,0.01055455207824707
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_0",3,7.0,0.5,0,0.038066772360560455,0.09939531514870605,2.181507550630655,0.1634202834677048,27.669089130739955,3,0.015657424926757812
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_1",3,7.0,0.5,1,0.07871706890589278,0.0952718070974667,2.2383508061051227,0.15939638562128405,27.9873018767018,3,0.01562356948852539
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_2",3,7.0,0.5,2,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_3",3,7.0,0.5,3,0.07756359526270225,0.08946889648304474,2.2173563654909976,0.1601106744590902,27.968071008943376,3,0.014574050903320312
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_4",3,7.0,0.5,4,0.04640159438362923,0.11354331830990066,2.217160864489466,0.15884118656247775,27.714178453684287,3,0.015630722045898438
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_5",3,7.0,0.5,5,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.015612602233886719
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_6",3,7.0,0.5,6,0.11466043244475979,0.1783538790340993,2.0288422759406077,0.1192855005129145,25.441090911866088,3,0.015622854232788086
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_7",3,7.0,0.5,7,0.052562261408152365,0.11898547144163511,2.2556672997103,0.1580708784222048,27.682447353469485,3,0.0066432952880859375
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_8",3,7.0,0.5,8,0.07500518034015746,0.10518310306679514,2.183510522742361,0.17364760546635438,27.686121556228002,3,0.015650272369384766
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.5)_9",3,7.0,0.5,9,0.10475237661118231,0.1584967791594902,2.2537427995552854,0.15119007056193648,27.800833679271033,3,0.01566314697265625
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_0",3,7.0,0.7,0,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.015595436096191406
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_1",3,7.0,0.7,1,0.031531619768228825,0.11865524721303543,2.08313840559939,0.12057891820277172,24.8391815889541,3,0.00752568244934082
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_2",3,7.0,0.7,2,0.10458207331906025,0.1581677314284358,2.2602332844384274,0.15019368704175245,27.7320212679337,3,0.01701641082763672
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_3",3,7.0,0.7,3,0.052562261408152365,0.11898547144163511,2.2556672997103,0.1580708784222048,27.682447353469485,3,0.015650510787963867
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_4",3,7.0,0.7,4,0.0536107456648198,0.1645847482150577,2.0475870900825766,0.11282329216358183,24.850370667671164,3,0.01565837860107422
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_5",3,7.0,0.7,5,0.06557493437565459,0.10855698271174928,2.2415033104315074,0.1696162188188383,27.16955226875717,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_6",3,7.0,0.7,6,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_7",3,7.0,0.7,7,0.09710402873764652,0.14487927965464634,2.2624557408270505,0.1502262637961169,27.69808457326654,3,0.015585184097290039
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_8",3,7.0,0.7,8,0.08406278507154642,0.12174309633116646,2.2086798886599452,0.17273344129742826,27.625227706111907,3,0.015671253204345703
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.7)_9",3,7.0,0.7,9,0.10366505687911669,0.14979545176001344,2.2568913455100423,0.15038029614431944,27.709837766999577,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=7, rho=0.9)_0",3,7.0,0.9,0,0.05390007937052721,0.08161692840195858,2.212950732692777,0.16280349074728562,27.223978866025785,3,0.0
