Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=2k)_0",10,manhattan,2k,0,0.09262105488575018,0.15156198215605485,1.7604005531705216,0.1667402755175872,16.00511453599907,10,0.10001444816589355
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=3k)_0",10,manhattan,3k,0,0.07333809739323129,0.1346189837337521,1.7672783867543251,0.15766256673212697,15.341619401476573,10,0.10975003242492676
"GlobalKMeansAlgorithm(k=10, Distance_Metric=manhattan, N_Buckets=4k)_0",10,manhattan,4k,0,0.09028192232386198,0.1373680911597638,1.746678399166186,0.15893351481659662,14.858593459966533,10,0.158064603805542
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=2k)_0",10,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.11380124092102051
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=3k)_0",10,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.16639375686645508
"GlobalKMeansAlgorithm(k=10, Distance_Metric=clark, N_Buckets=4k)_0",10,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.21972870826721191
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=2k)_0",11,euclidean,2k,0,0.07765828442097417,0.15845535013225323,1.6087527396662316,0.1357021192371389,14.922438053270282,11,0.11734747886657715
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=3k)_0",11,euclidean,3k,0,0.05944207250780309,0.11909515996734171,1.6383648775330224,0.16134989957872597,14.493342838264981,11,0.12386155128479004
"GlobalKMeansAlgorithm(k=11, Distance_Metric=euclidean, N_Buckets=4k)_0",11,euclidean,4k,0,0.07639625103221427,0.153519365510248,1.462675337690822,0.15964279513317392,14.645382100160983,11,0.1551835536956787
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=2k)_0",11,manhattan,2k,0,0.07467234837722103,0.138062337927839,1.771888576473249,0.1778393471550989,15.153401964677482,11,0.09984159469604492
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=3k)_0",11,manhattan,3k,0,0.07680330314225112,0.14154074945555553,1.718650193783967,0.15743151240717396,14.577890015867341,11,0.15004825592041016
"GlobalKMeansAlgorithm(k=11, Distance_Metric=manhattan, N_Buckets=4k)_0",11,manhattan,4k,0,0.053965078310159315,0.14420239744018573,1.8402658975341395,0.15995066221623472,15.16486102961766,11,0.18315863609313965
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=2k)_0",11,clark,2k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.15752458572387695
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=3k)_0",11,clark,3k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.1777791976928711
"GlobalKMeansAlgorithm(k=11, Distance_Metric=clark, N_Buckets=4k)_0",11,clark,4k,0,0.24341893079173016,0.19796071019694716,2.157729616819262,0.18518447754490655,31.16155558603723,2,0.24533653259277344
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=2k)_0",12,euclidean,2k,0,0.04186376434847386,0.12209774192240162,1.636668606781038,0.15996206875348873,14.580844683145958,12,0.10024237632751465
"GlobalKMeansAlgorithm(k=12, Distance_Metric=euclidean, N_Buckets=3k)_0",12,euclidean,3k,0,0.07971804716637385,0.1733325789525509,1.6220143307883832,0.13478940318658397,13.482602766681145,12,0.175048828125
