Algorithm,k,Distance_Metric,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"KMeansAlgorithm(k=5, Distance_Metric=clark)_1",5,clark,1,0.21569603363209583,0.1831328836663068,2.5384961683650897,0.014709827187924235,17.315262384834426,4,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_2",5,clark,2,0.17257584479294294,0.17246400700011844,2.618313566556691,0.09651246316941553,15.778764061899778,5,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_3",5,clark,3,0.11253097956804531,0.09919720786713027,2.323684474384084,-0.004935784698695056,13.246580658065799,4,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_4",5,clark,4,0.21569603363209583,0.1831328836663068,2.5384961683650893,0.014709827187924235,17.315262384834423,4,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_5",5,clark,5,0.04719007447904659,0.13922221659488213,2.58989337776633,0.06968657657842466,15.865989591350688,4,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_6",5,clark,6,0.2909954487197071,0.1781473338161958,2.271332932479396,0.17498227001784267,21.59116184739402,3,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_7",5,clark,7,-0.01376004139238006,0.1416736311529184,1.7147406034343258,0.04512062271428464,10.20632599657059,4,0.0
"KMeansAlgorithm(k=5, Distance_Metric=clark)_8",5,clark,8,0.2659513304833183,0.1847639194527012,2.3622484857135575,0.030540496432873848,13.230440490372708,4,0.015622138977050781
"KMeansAlgorithm(k=5, Distance_Metric=clark)_9",5,clark,9,0.273484763323857,0.16691097726266194,2.151036939212826,0.1652048296202384,17.0922675193175,4,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_0",6,euclidean,0,0.07172686616525635,0.0802478641969723,1.955879300628533,0.157042076288554,17.993951083447413,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_1",6,euclidean,1,0.06056672263551145,0.15264564533622718,1.9933883815203532,0.13540941105643622,18.639579951804315,6,0.008015871047973633
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_2",6,euclidean,2,0.08097788122673905,0.15611605697167047,2.0958534307149037,0.13540632812751602,18.68415987737033,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_3",6,euclidean,3,0.0999582171347494,0.16933604749587308,1.9442323593089939,0.15396673611123393,20.050675867750233,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_4",6,euclidean,4,0.06261336468616613,0.1287131851405643,1.942332141206654,0.15713700867038585,19.99330939955846,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_5",6,euclidean,5,0.0600407325907501,0.11791130343321155,2.07492640328837,0.1477084396221127,19.67528682776303,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_6",6,euclidean,6,0.11722058164884423,0.12992836248290007,2.0500106153967956,0.15524218699206652,18.277206235550043,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_7",6,euclidean,7,0.037984415172777466,0.12647469747784068,1.9453274431466265,0.12423480256411625,19.358888356326023,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_8",6,euclidean,8,0.07965781980271774,0.15936083645820376,1.8114786158628533,0.15135442962878193,21.072289898378585,6,0.004295825958251953
"KMeansAlgorithm(k=6, Distance_Metric=euclidean)_9",6,euclidean,9,0.03348070615963597,0.10919917156539162,1.883804504904597,0.137376314240351,19.13825878535153,6,0.015681982040405273
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_0",6,manhattan,0,0.14689352731705865,0.1308064006371119,2.04430570442157,0.15921192659371425,17.870758510892657,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_1",6,manhattan,1,0.1461519519737543,0.16349995556142008,1.8715516196583868,0.1827146243309994,20.188516652917468,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_2",6,manhattan,2,0.13708731882712488,0.1209767586402507,1.8801550350258445,0.17965831056369952,19.644602070959984,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_3",6,manhattan,3,0.1209539006593155,0.13753779627931564,1.9840515458480725,0.17449056388359369,19.291537876905313,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_4",6,manhattan,4,0.18490854970165468,0.13970960663653315,2.01293974305395,0.1622761105811388,16.955501749922703,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_5",6,manhattan,5,0.1389376117434937,0.18232191887686203,1.9835141394249707,0.17027476615388254,19.948379151069304,6,0.014549493789672852
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_6",6,manhattan,6,0.20079485892360557,0.14968500771695922,2.1222947899892217,0.15932536559069402,14.695448280423745,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_7",6,manhattan,7,0.15024308484229154,0.1473928453660332,1.8695238216801606,0.1754683867434588,18.460858009490725,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_8",6,manhattan,8,0.20452630123953025,0.14801757374256377,2.087593141212996,0.15885979495325842,17.224092236379764,6,0.0
"KMeansAlgorithm(k=6, Distance_Metric=manhattan)_9",6,manhattan,9,0.11351105034780522,0.13580699624085965,1.9124523012767902,0.14957080064277212,19.621869141752985,6,0.0
