Model,Dataset/Fold,Accuracy,Time,F1
"KNN, 3, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.8374384236453202,3.153735637664795,0.8326226928029761
"KNN, 3, clark_distance, reliefF_weight, shepard",Mushroom/1,0.8374384236453202,3.1118879318237305,0.8326226928029761
"KNN, 5, euclidean_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.1648123264312744,0.3526645768025078
"KNN, 5, euclidean_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.1286141872406006,0.3526645768025078
"KNN, 5, euclidean_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.1285045146942139,0.3526645768025078
"KNN, 5, manhattan_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.1604893207550049,0.3526645768025078
"KNN, 5, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.0708346366882324,0.3526645768025078
"KNN, 5, manhattan_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.1437785625457764,0.3526645768025078
"KNN, 5, clark_distance, reliefF_weight, majority_class",Mushroom/1,0.8066502463054187,2.970108985900879,0.7985306742343898
"KNN, 5, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.8066502463054187,2.893082618713379,0.7985306742343898
"KNN, 5, clark_distance, reliefF_weight, shepard",Mushroom/1,0.8066502463054187,2.9524428844451904,0.7985306742343898
"KNN, 7, euclidean_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.955784797668457,0.3526645768025078
"KNN, 7, euclidean_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.8103454113006592,0.3526645768025078
"KNN, 7, euclidean_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.8815536499023438,0.3526645768025078
"KNN, 7, manhattan_distance, reliefF_weight, majority_class",Mushroom/1,0.5172413793103449,1.9138503074645996,0.3526645768025078
"KNN, 7, manhattan_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.5172413793103449,1.7869617938995361,0.3526645768025078
"KNN, 7, manhattan_distance, reliefF_weight, shepard",Mushroom/1,0.5172413793103449,1.7778735160827637,0.3526645768025078
"KNN, 7, clark_distance, reliefF_weight, majority_class",Mushroom/1,0.8115763546798029,4.761191129684448,0.8040668305298269
"KNN, 7, clark_distance, reliefF_weight, inverse_distance_weighted",Mushroom/1,0.8115763546798029,4.751486301422119,0.8040668305298269
"KNN, 7, clark_distance, reliefF_weight, shepard",Mushroom/1,0.8115763546798029,4.832977533340454,0.8040668305298269
"KNN, 1, euclidean_distance, equal_weight, majority_class",Mushroom/2,1.0,1.935598373413086,1.0
"KNN, 1, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/2,1.0,1.821113109588623,1.0
"KNN, 1, euclidean_distance, equal_weight, shepard",Mushroom/2,1.0,1.8203003406524658,1.0
"KNN, 1, manhattan_distance, equal_weight, majority_class",Mushroom/2,1.0,1.8669638633728027,1.0
"KNN, 1, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/2,1.0,1.8198437690734863,1.0
"KNN, 1, manhattan_distance, equal_weight, shepard",Mushroom/2,1.0,1.8142733573913574,1.0
"KNN, 1, clark_distance, equal_weight, majority_class",Mushroom/2,1.0,4.860581398010254,1.0
"KNN, 1, clark_distance, equal_weight, inverse_distance_weighted",Mushroom/2,1.0,4.897979021072388,1.0
"KNN, 1, clark_distance, equal_weight, shepard",Mushroom/2,1.0,4.780306816101074,1.0
"KNN, 3, euclidean_distance, equal_weight, majority_class",Mushroom/2,1.0,2.0103609561920166,1.0
"KNN, 3, euclidean_distance, equal_weight, inverse_distance_weighted",Mushroom/2,1.0,1.881392478942871,1.0
"KNN, 3, euclidean_distance, equal_weight, shepard",Mushroom/2,1.0,1.8929469585418701,1.0
"KNN, 3, manhattan_distance, equal_weight, majority_class",Mushroom/2,1.0,1.9399571418762207,1.0
"KNN, 3, manhattan_distance, equal_weight, inverse_distance_weighted",Mushroom/2,1.0,1.7898640632629395,1.0
"KNN, 3, manhattan_distance, equal_weight, shepard",Mushroom/2,1.0,1.7875287532806396,1.0
