Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=3k)_0",5,clark,3k,0,0.35822060057773786,0.3213494363947341,2.2869123620418574,0.09495591995013293,765.5170151564993,0.2316446304321289
"GlobalKMeansAlgorithm(k=5, Distance_Metric=clark, N_Buckets=4k)_0",5,clark,4k,0,0.35822060057773786,0.3213494363947341,2.2869123620418574,0.09495591995013293,765.5170151564993,0.23378539085388184
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=2k)_0",6,euclidean,2k,0,0.20877465623774416,0.27636035222091515,1.5071866101093667,0.2688143782923983,1962.81076068366,0.1756267547607422
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=3k)_0",6,euclidean,3k,0,0.20735177720189832,0.26352971527809976,1.539327377030358,0.26628369297720106,1962.9064425834963,0.17856502532958984
"GlobalKMeansAlgorithm(k=6, Distance_Metric=euclidean, N_Buckets=4k)_0",6,euclidean,4k,0,0.20735177720189832,0.26352971527809976,1.539327377030358,0.26628369297720106,1962.9064425834963,0.1850724220275879
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=2k)_0",6,manhattan,2k,0,0.235652538991903,0.3054285875928202,1.6153605790224381,0.2579090240679705,1765.9625624598564,0.15843677520751953
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=3k)_0",6,manhattan,3k,0,0.24083938069285776,0.3336547393558666,1.5573198416818572,0.26539432737908414,1893.2216615883483,0.1701827049255371
"GlobalKMeansAlgorithm(k=6, Distance_Metric=manhattan, N_Buckets=4k)_0",6,manhattan,4k,0,0.24092636028329406,0.3338751735853891,1.5582278211480904,0.2654037974277345,1891.3652305091357,0.16600632667541504
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=2k)_0",6,clark,2k,0,0.19795188606331843,0.2797626349908325,2.169538777485958,0.1626087581635904,1257.6098931051724,0.35104990005493164
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=3k)_0",6,clark,3k,0,0.24911588203671875,0.27774470452543293,2.0439106038649086,0.19066160341361013,1364.4156647335446,0.33190464973449707
"GlobalKMeansAlgorithm(k=6, Distance_Metric=clark, N_Buckets=4k)_0",6,clark,4k,0,0.13279207997508904,0.21141045244602386,2.3081734997399064,0.13579097194148085,1278.62099209468,0.35457539558410645
"GlobalKMeansAlgorithm(k=7, Distance_Metric=euclidean, N_Buckets=2k)_0",7,euclidean,2k,0,0.21507219441351796,0.29362854639171715,1.617568107946805,0.2638971244238607,1805.8734938338528,0.24552273750305176
