Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_8",4,7.0,0.5,8,0.25130167811013193,0.2986895496261787,1.6442398962621578,0.2651985895679957,2346.7057570537863,4,0.6023049354553223
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.5)_9",4,7.0,0.5,9,0.1540225932739002,0.18033430538461878,1.592258517470889,0.21626565126279382,1896.819939608481,4,0.8013181686401367
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_0",4,7.0,0.7,0,0.25393239184326744,0.2974368366238205,1.6425716554300007,0.2655307244375286,2339.552066837607,4,0.7247908115386963
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_1",4,7.0,0.7,1,0.21360248641894444,0.22965456209248014,1.5892264078787308,0.23357095133954345,2147.19971006224,4,1.6198675632476807
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_2",4,7.0,0.7,2,0.15328179665216699,0.17987328772796232,1.5932470073582208,0.21608603060338447,1896.3449034000917,4,0.8775250911712646
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_3",4,7.0,0.7,3,0.21360248641894444,0.22965456209248017,1.5892264078787308,0.23357095133954345,2147.19971006224,4,1.2965848445892334
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_4",4,7.0,0.7,4,0.1461340216214833,0.16529997096138255,1.8440237581956296,0.2256060069830924,2205.460783004105,4,0.9874858856201172
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_5",4,7.0,0.7,5,0.25393239184326744,0.2974368366238205,1.6425716554300007,0.2655307244375286,2339.5520668376066,4,1.710484504699707
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_6",4,7.0,0.7,6,0.14614226746701225,0.16530732123588013,1.8440377326981578,0.22560980219979415,2205.4279734840966,4,0.6777944564819336
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_7",4,7.0,0.7,7,0.15328179665216699,0.17987328772796238,1.5932470073582208,0.21608603060338447,1896.3449034000919,4,1.3249943256378174
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_8",4,7.0,0.7,8,0.25393239184326744,0.2974368366238205,1.6425716554300007,0.2655307244375286,2339.5520668376066,4,1.805417537689209
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.7)_9",4,7.0,0.7,9,0.25393239184326744,0.2974368366238205,1.6425716554300007,0.2655307244375286,2339.552066837607,4,1.376432180404663
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_0",4,7.0,0.9,0,0.2541107435846232,0.2973085640280803,1.642233087376049,0.265543080867234,2339.035439315977,4,1.1350607872009277
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_1",4,7.0,0.9,1,0.1530358867232797,0.17983798079190857,1.5934670056485738,0.21600365184045525,1896.0521582755614,4,0.7773251533508301
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_2",4,7.0,0.9,2,0.2541107435846232,0.29730856402808037,1.6422330873760491,0.265543080867234,2339.0354393159764,4,2.163727283477783
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_3",4,7.0,0.9,3,0.2541107435846232,0.2973085640280803,1.6422330873760491,0.265543080867234,2339.0354393159764,4,1.4651401042938232
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_4",4,7.0,0.9,4,0.2541107435846232,0.2973085640280803,1.6422330873760491,0.265543080867234,2339.035439315977,4,1.507385492324829
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_5",4,7.0,0.9,5,0.17010470271152817,0.16481746181791018,1.853915833152362,0.2411987306275341,2146.0065723605558,4,1.0840904712677002
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_6",4,7.0,0.9,6,0.25401094803633756,0.29707293529923695,1.642099514398018,0.26553909022319305,2338.8588813497236,4,1.6713011264801025
"FuzzyCMeans(n_clusters=4, fuzziness=7, rho=0.9)_7",4,7.0,0.9,7,0.2541107435846232,0.2973085640280803,1.6422330873760491,0.265543080867234,2339.0354393159764,4,1.174581527709961
