Algorithm,k,Distance_Metric,N_Buckets,Repetition,ARI,NMI,DBI,Silhouette,CHS,Time
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=3k)_0",7,manhattan,3k,0,0.45694391964810055,0.6218984493768823,1.2416481089076024,0.30805160658037395,3057.3576205555964,0.40090250968933105
"GlobalKMeansAlgorithm(k=7, Distance_Metric=manhattan, N_Buckets=4k)_0",7,manhattan,4k,0,0.4571934685592511,0.6221854493908868,1.2410304568774324,0.3080561781053583,3056.9955210792,0.4569551944732666
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=2k)_0",7,clark,2k,0,0.42578469633837274,0.6023972996830553,1.6891062587904493,0.1941408108672438,2319.7766356817106,0.7184455394744873
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=3k)_0",7,clark,3k,0,0.38820927860332766,0.5631493031763549,2.314756345653425,0.20508513904336242,2323.61926747784,0.7827024459838867
"GlobalKMeansAlgorithm(k=7, Distance_Metric=clark, N_Buckets=4k)_0",7,clark,4k,0,0.41852968076927843,0.5806744727419321,1.8533369503251786,0.16671375343861036,2172.1818212493545,0.7631754875183105
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=2k)_0",8,euclidean,2k,0,0.48878753825333177,0.6446252721594076,1.2080381612886866,0.31810799588879723,2989.6481846401016,0.544806718826294
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=3k)_0",8,euclidean,3k,0,0.4497482413611591,0.6198368078329027,1.3874265394317806,0.28826966469409165,2889.9745956572174,0.5289454460144043
"GlobalKMeansAlgorithm(k=8, Distance_Metric=euclidean, N_Buckets=4k)_0",8,euclidean,4k,0,0.4888917667665581,0.6448879157195428,1.2071387252932577,0.3181904097424817,2989.681190747983,0.5247595310211182
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=2k)_0",8,manhattan,2k,0,0.4842559216362105,0.63937812911581,1.3824010147513843,0.28478252755114825,2852.131346216761,0.5366945266723633
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=3k)_0",8,manhattan,3k,0,0.44297212391403773,0.6194775772160533,1.2729139234670113,0.29919395458279274,2868.1887115197915,0.5314655303955078
"GlobalKMeansAlgorithm(k=8, Distance_Metric=manhattan, N_Buckets=4k)_0",8,manhattan,4k,0,0.44239095566824577,0.6189201229561685,1.2724830383542396,0.2987475996032953,2864.14138877576,0.5934329032897949
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=2k)_0",8,clark,2k,0,0.43944339648005065,0.5809028997078068,1.7558693452828482,0.17438383216110598,2106.0156703817306,0.8869411945343018
"GlobalKMeansAlgorithm(k=8, Distance_Metric=clark, N_Buckets=3k)_0",8,clark,3k,0,0.4048575528435002,0.5529144443634558,2.044502638452329,0.18183237826829932,1983.5155343983934,0.977006196975708
