Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_3",4,2.0,0.5,3,0.311193353553814,0.5112973427503448,1.465398394784637,0.2609314744844181,3061.378095481902,4,0.3406028747558594
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_4",4,2.0,0.5,4,0.31887286538554993,0.49940341855442344,1.4526507763735466,0.26952412004626575,3361.000631494146,4,0.24859857559204102
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_5",4,2.0,0.5,5,0.31127866591085473,0.5116152679840502,1.4653718088593384,0.2609321347213889,3061.380459800717,4,0.18708443641662598
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_6",4,2.0,0.5,6,0.31887286538554993,0.4994034185544235,1.4526507763735468,0.26952412004626575,3361.000631494146,4,0.28411364555358887
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_7",4,2.0,0.5,7,0.31887286538554993,0.4994034185544234,1.4526507763735468,0.26952412004626575,3361.000631494146,4,0.6453847885131836
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_8",4,2.0,0.5,8,0.31918018171265394,0.49998324667236405,1.4534293023612084,0.2695437168922031,3361.028620450801,4,0.6167755126953125
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.5)_9",4,2.0,0.5,9,0.2968738314107626,0.4815771242905412,1.5689151022993841,0.2543014191486856,3058.4064187996887,4,0.3197627067565918
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_0",4,2.0,0.7,0,0.3109017366395525,0.5109444886716382,1.4653948642028187,0.26092514618360585,3061.345045967466,4,0.23109078407287598
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_1",4,2.0,0.7,1,0.3184375377209246,0.4988516715880281,1.4516184758063253,0.26942319034020895,3360.865905505122,4,0.3228425979614258
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_2",4,2.0,0.7,2,0.3184375377209246,0.4988516715880281,1.4516184758063253,0.26942319034020895,3360.865905505122,4,0.42442893981933594
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_3",4,2.0,0.7,3,0.31838794041657037,0.4987835631943862,1.4519875201223313,0.2694359279802814,3360.9034084583577,4,0.7624039649963379
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_4",4,2.0,0.7,4,0.29633483711586994,0.4808417588226988,1.568729558872613,0.25448029740437583,3058.3525090785015,4,0.4836997985839844
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_5",4,2.0,0.7,5,0.3184375377209246,0.4988516715880281,1.4516184758063253,0.26942319034020895,3360.865905505122,4,0.32178211212158203
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_6",4,2.0,0.7,6,0.3184375377209246,0.4988516715880281,1.4516184758063253,0.26942319034020895,3360.865905505122,4,0.3399960994720459
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_7",4,2.0,0.7,7,0.3109017366395525,0.5109444886716382,1.4653948642028187,0.26092514618360585,3061.3450459674664,4,0.236464262008667
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_8",4,2.0,0.7,8,0.22084237010709248,0.46606559096242334,1.3350233700273573,0.25792344098893843,2875.3169418145617,4,0.20325398445129395
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.7)_9",4,2.0,0.7,9,0.3184375377209246,0.4988516715880281,1.451618475806325,0.26942319034020895,3360.865905505122,4,0.29900050163269043
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_0",4,2.0,0.9,0,0.3106885785412648,0.5101473485035918,1.46492047122269,0.26090345615756627,3061.2546957040204,4,0.47565746307373047
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_1",4,2.0,0.9,1,0.3106885785412648,0.5101473485035918,1.46492047122269,0.26090345615756627,3061.2546957040204,4,0.23627161979675293
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_2",4,2.0,0.9,2,0.3177274969091106,0.49810217158124054,1.4512420641398727,0.26935898059735813,3360.707885599504,4,0.3174905776977539
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_3",4,2.0,0.9,3,0.3177274969091106,0.4981021715812406,1.4512420641398727,0.26935898059735813,3360.707885599504,4,0.4822542667388916
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_4",4,2.0,0.9,4,0.32597081486038604,0.5161425956006662,1.6228401477948695,0.25398423090883193,2936.0546653804345,4,0.4459083080291748
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_5",4,2.0,0.9,5,0.31777067632598666,0.49808063801157487,1.4511378644764434,0.2693435502106874,3360.7846036161613,4,0.38265013694763184
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_6",4,2.0,0.9,6,0.3177274969091106,0.49810217158124054,1.4512420641398727,0.26935898059735813,3360.707885599504,4,0.3906826972961426
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_7",4,2.0,0.9,7,0.296669591756608,0.4813811516992395,1.5685468583228246,0.2545086213107099,3058.2770124251624,4,0.6844990253448486
"FuzzyCMeans(n_clusters=4, fuzziness=2, rho=0.9)_8",4,2.0,0.9,8,0.31777067632598666,0.4980806380115748,1.4511378644764434,0.2693435502106874,3360.7846036161613,4,0.3501415252685547
