Algorithm,max_clusters,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
XMeans(max_clusters=216)_2,216,2,0.09788453778436515,0.5896233784418322,1.482444817003209,0.15257875062918877,654.4815350985667,216,7.648313999176025
XMeans(max_clusters=216)_3,216,3,0.09297734054353993,0.5868988197014715,1.5108387948098003,0.148672822431395,668.0614764681293,216,7.920247316360474
XMeans(max_clusters=216)_4,216,4,0.09728800006010353,0.5899624381863976,1.5033313768541736,0.15025920041454538,654.6649946330666,216,5.793585300445557
XMeans(max_clusters=217)_0,217,0,0.10508182840342463,0.5959110853766355,1.5031319009593094,0.15049295775232185,649.7798448198628,217,6.838253974914551
XMeans(max_clusters=217)_1,217,1,0.09769681442993972,0.5913815402871405,1.520887271588181,0.14838465201196696,656.4896443005046,217,6.024382829666138
XMeans(max_clusters=217)_2,217,2,0.09594994255754671,0.5913742090817873,1.5042761847061332,0.15330928196234334,660.1967840723881,217,7.998639822006226
XMeans(max_clusters=217)_3,217,3,0.096146208480811,0.5880259534571256,1.502987443514492,0.14776064528304367,654.5856844745625,217,5.744856595993042
XMeans(max_clusters=217)_4,217,4,0.09890569548356577,0.5932968855307279,1.4848285318566798,0.1516215019655574,675.6240582168937,209,5.838150501251221
XMeans(max_clusters=218)_0,218,0,0.09498680551532722,0.5901442374401678,1.4905560713318933,0.14770433499362431,659.6786044103658,218,9.116192817687988
XMeans(max_clusters=218)_1,218,1,0.09971989825677326,0.5925913109449573,1.486755901779715,0.1531317969000428,662.170949658269,212,9.714547634124756
XMeans(max_clusters=218)_2,218,2,0.09718621676140728,0.589699021535058,1.493434892063053,0.15140456355220372,671.1705940034461,213,9.24863862991333
XMeans(max_clusters=218)_3,218,3,0.09855580694046248,0.5903113740823928,1.4808062117538796,0.1517200101432855,658.2324444116222,217,7.641534805297852
XMeans(max_clusters=218)_4,218,4,0.09752555682349179,0.5934504429731188,1.503740112373947,0.15408469633587754,657.2822943390885,216,10.114203929901123
XMeans(max_clusters=219)_0,219,0,0.09774743880109711,0.5934129343343743,1.4857617180115863,0.1500183831170709,650.20084569091,219,6.2884767055511475
XMeans(max_clusters=219)_1,219,1,0.0987937006558898,0.5915364599544782,1.4974448669018263,0.14972432973485816,655.1280596901712,219,8.228963613510132
